month,dow,hour,bike_trips,bike_dur_tot,NO2,PM10,PM2_5,NOx,O3,Veloc,Temp
1,5,2,2024,32208,22.666666666666668,26.384615384615383,19.080000000000002,39.02173913043478,32.114285714285714,1.5319999999999998,7.8549999999999995
1,5,3,1636,23144,18.916666666666668,23.46153846153846,17.055,32.630434782608695,34.94285714285714,1.5,7.445
1,5,4,1492,23848,17.416666666666668,19.897435897435898,14.4275,28.456521739130434,35.6,1.6159999999999999,7.265000000000001
1,5,5,1208,35904,17.5,19.384615384615383,13.5525,27.717391304347824,33.68571428571428,1.5119999999999998,6.745
1,5,6,1488,23284,20.0625,17.58974358974359,11.727500000000001,29.0,30.34285714285714,1.5119999999999998,6.455
1,5,7,1748,25288,28.291666666666668,17.256410256410255,10.504999999999999,40.34782608695652,21.914285714285715,1.7,6.0600000000000005
1,5,8,2956,39168,32.020833333333336,18.923076923076923,10.504999999999999,51.56521739130435,18.485714285714284,1.5959999999999999,6.44
1,5,9,4300,57256,30.75,21.871794871794872,11.53,51.5,24.8,1.452,8.35
1,5,10,5348,108976,27.354166666666668,22.923076923076923,13.4025,45.82608695652174,32.48571428571429,1.212,10.73
1,5,11,7360,185916,24.145833333333332,23.384615384615383,13.5775,40.130434782608695,41.82857142857143,1.264,12.865
1,5,12,8916,203256,19.75,22.28205128205128,13.0275,32.73913043478261,51.77142857142857,1.4920000000000002,14.235
1,5,13,9652,181256,22.354166666666668,24.41025641025641,15.5775,36.97826086956522,54.68571428571428,1.376,14.920000000000002
1,5,14,8576,135080,20.291666666666668,20.871794871794872,13.855,32.71739130434783,62.2,1.4080000000000001,15.690000000000001
1,5,15,7736,132732,17.666666666666668,16.82051282051282,10.879999999999999,28.0,67.37142857142857,1.4,16.130000000000003
1,5,16,8860,182876,20.583333333333332,16.71794871794872,10.5525,28.934782608695652,65.11428571428571,1.556,15.88
1,5,17,9484,165376,24.583333333333332,17.58974358974359,11.504999999999999,33.47826086956522,60.371428571428574,1.788,14.055000000000001
1,5,18,8776,126008,32.645833333333336,20.564102564102566,12.18,46.69565217391305,50.94285714285714,1.6680000000000001,12.620000000000001
1,5,19,8224,117032,43.041666666666664,22.076923076923077,14.255,63.06521739130435,38.542857142857144,1.54,11.959999999999999
1,5,20,7524,102732,53.729166666666664,28.358974358974358,18.6025,87.19565217391305,26.542857142857144,1.3559999999999999,11.365
1,5,21,6128,81428,52.808510638297875,34.17948717948718,24.5025,86.4888888888889,23.205882352941178,1.1840000000000002,10.57
1,5,22,4168,53768,54.041666666666664,38.8974358974359,29.130000000000003,84.8913043478261,17.2,1.036,9.52
1,5,23,4268,67200,44.9375,39.666666666666664,31.005000000000003,61.34782608695652,18.82857142857143,1.452,9.035
1,6,0,4416,61032,33.97826086956522,35.83783783783784,28.502631578947366,42.09090909090909,24.457142857142856,1.472,8.64
1,6,1,2764,35316,26.229166666666668,30.53846153846154,24.580000000000002,32.08695652173913,28.742857142857144,1.724,8.235
1,6,2,1748,27040,20.958333333333332,27.641025641025642,21.5775,26.391304347826086,31.37142857142857,1.844,8.209999999999999
1,6,3,1316,16276,17.5,23.923076923076923,19.1275,20.652173913043477,31.942857142857143,1.7919999999999998,7.935
1,6,4,988,13504,16.020833333333332,22.487179487179485,17.802500000000002,22.152173913043477,31.285714285714285,1.8359999999999999,7.6049999999999995
1,6,5,584,8092,14.833333333333334,21.615384615384617,16.4775,21.304347826086957,31.228571428571428,1.5719999999999998,7.385
1,6,6,844,11748,15.4375,19.564102564102566,14.627500000000001,24.108695652173914,31.571428571428573,1.6,7.095000000000001
1,6,7,1204,22120,18.979166666666668,17.076923076923077,12.377500000000001,30.82608695652174,28.857142857142858,1.584,6.859999999999999
1,6,8,2428,36788,22.604166666666668,17.435897435897434,11.7025,37.65217391304348,25.914285714285715,1.304,7.065
1,6,9,3348,43996,22.666666666666668,19.743589743589745,12.4025,37.869565217391305,29.457142857142856,1.3519999999999999,8.8
1,6,10,5112,85984,21.770833333333332,20.102564102564102,13.3275,34.69565217391305,36.285714285714285,1.284,10.375
1,6,11,6624,109168,19.270833333333332,20.102564102564102,13.352500000000001,30.130434782608695,43.714285714285715,1.308,12.434999999999999
1,6,12,7744,134216,18.8125,20.897435897435898,13.2775,30.26086956521739,49.457142857142856,1.7,13.940000000000001
1,6,13,7728,128452,19.0625,21.94871794871795,13.1775,30.26086956521739,53.34285714285714,2.344,14.579999999999998
1,6,14,7168,110008,18.25,22.256410256410255,13.102500000000001,28.130434782608695,58.142857142857146,2.832,14.805000000000001
1,6,15,6308,104444,15.854166666666666,18.256410256410255,12.0275,22.391304347826086,64.45714285714286,2.752,15.209999999999999
1,6,16,6976,113228,18.104166666666668,16.307692307692307,10.727500000000001,24.195652173913043,64.37142857142857,2.384,15.425
1,6,17,8092,125548,29.229166666666668,18.53846153846154,11.8275,38.369565217391305,56.91428571428571,1.76,14.675
1,6,18,7828,118404,38.583333333333336,21.692307692307693,13.7775,53.69565217391305,45.68571428571428,1.564,13.27
1,6,19,6392,94800,42.333333333333336,24.71794871794872,16.3525,64.8913043478261,38.17142857142857,1.612,12.475
1,6,20,5744,87852,48.53191489361702,28.58974358974359,19.9775,83.13333333333334,29.029411764705884,1.5959999999999999,11.895
1,6,21,4340,60132,45.93617021276596,31.76923076923077,22.7275,86.57777777777778,27.264705882352942,1.496,11.290000000000001
1,6,22,3164,41812,44.659574468085104,33.82051282051282,24.3775,89.2,25.147058823529413,1.556,10.78
1,6,23,3148,40132,39.5,32.666666666666664,24.3775,81.3695652173913,23.714285714285715,1.6880000000000002,10.05
2,0,0,2032,32096,30.487179487179485,25.866666666666667,15.387096774193548,35.054054054054056,26.666666666666668,1.3631578947368421,11.04
2,0,1,872,12188,21.564102564102566,23.533333333333335,15.193548387096774,26.2972972972973,38.833333333333336,1.294736842105263,11.04
2,0,2,588,9140,19.41025641025641,22.633333333333333,15.035483870967743,24.10810810810811,40.26086956521739,1.2842105263157897,10.973333333333333
2,0,3,416,5192,19.23076923076923,20.7,15.774193548387096,22.91891891891892,34.875,1.3,10.586666666666668
2,0,4,420,5636,18.210526315789473,18.6,14.387096774193548,23.444444444444443,30.869565217391305,1.4105263157894736,10.373333333333333
2,0,5,716,8192,19.435897435897434,18.1,12.96774193548387,25.756756756756758,29.708333333333332,1.3315789473684212,9.879999999999999
2,0,6,2324,149016,27.16216216216216,21.633333333333333,11.96774193548387,47.02857142857143,22.045454545454547,1.394736842105263,9.506666666666666
2,0,7,11412,316484,42.46153846153846,37.54838709677419,12.5625,92.75675675675676,12.041666666666666,1.3894736842105262,9.366666666666667
2,0,8,15292,269824,53.43589743589744,57.67741935483871,15.375,121.5945945945946,10.375,1.1400000000000001,10.106666666666666
2,0,9,10328,172336,52.46153846153846,51.354838709677416,15.125,100.32432432432432,21.208333333333332,1.46,12.49375
2,0,10,9612,173872,34.24324324324324,32.93333333333333,11.375,59.08571428571429,41.43478260869565,1.26,15.0625
2,0,11,9944,308604,27.1,24.677419354838708,8.28125,44.973684210526315,54.0,2.0,16.15
2,0,12,10568,305716,25.0,23.161290322580644,7.25,42.21052631578947,59.2,2.855,16.943749999999998
2,0,13,13140,311200,21.875,19.64516129032258,6.21875,37.05263157894737,65.8,3.0300000000000002,17.5625
2,0,14,19420,277112,18.3,18.64516129032258,5.28125,34.3421052631579,69.88,3.215,17.91875
2,0,15,16124,237344,22.75,19.70967741935484,5.5,39.3421052631579,70.92,3.405,17.6625
2,0,16,13668,227188,25.05,23.06451612903226,5.9375,42.60526315789474,67.96,3.285,17.325
2,0,17,15380,221504,26.8,24.838709677419356,6.6875,42.23684210526316,66.32,2.98,17.43125
2,0,18,16600,265072,33.45,23.580645161290324,6.75,50.73684210526316,59.2,2.8449999999999998,16.50625
2,0,19,16100,296144,40.775,22.870967741935484,7.25,66.28947368421052,48.36,1.8850000000000002,15.58125
2,0,20,13288,205660,42.475,24.35483870967742,8.375,60.44736842105263,43.08,1.475,15.1125
2,0,21,8612,110448,41.575,25.0,9.4375,60.26315789473684,41.08,2.105,14.481250000000001
2,0,22,4992,61356,39.4,22.419354838709676,11.34375,58.526315789473685,41.4,1.98,13.71875
2,0,23,2896,39688,36.725,23.612903225806452,12.4375,51.1578947368421,39.4,1.6,12.95625
2,1,0,1932,32880,22.23076923076923,20.875,9.5625,33.86842105263158,49.73913043478261,2.665,13.05625
2,1,1,704,9528,19.307692307692307,17.6875,8.5625,27.86842105263158,49.95652173913044,2.87,12.15625
2,1,2,364,7176,14.051282051282051,12.03125,6.84375,22.86842105263158,52.65217391304348,2.57,11.6
2,1,3,220,3048,12.8,9.25,5.4375,21.41025641025641,50.916666666666664,1.985,10.79375
2,1,4,260,2772,14.75,9.25,4.96875,23.435897435897434,46.5,1.44,10.20625
2,1,5,664,7940,22.256410256410255,12.0,5.78125,33.78947368421053,37.47826086956522,1.605,9.66875
2,1,6,2464,102928,35.205128205128204,22.5625,7.3125,64.94736842105263,26.043478260869566,1.3,9.4875
2,1,7,12068,222904,56.0,45.96875,9.28125,135.75675675675674,11.772727272727273,1.5699999999999998,9.1125
2,1,8,16252,280640,66.91891891891892,71.83870967741936,12.321875,166.35135135135135,8.454545454545455,1.895,9.8125
2,1,9,11876,254596,62.64102564102564,63.46875,12.375,137.44736842105263,17.608695652173914,2.0,11.88125
2,1,10,9808,310084,46.94871794871795,42.75,10.78125,90.71052631578948,30.17391304347826,1.54,14.2
2,1,11,10596,191140,30.394736842105264,29.133333333333333,8.258064516129032,49.32432432432432,51.72727272727273,1.64,15.6125
2,1,12,11584,348944,26.564102564102566,25.903225806451612,7.806451612903226,48.026315789473685,56.26086956521739,2.25,15.8125
2,1,13,13372,261824,27.17948717948718,29.93548387096774,8.612903225806452,48.76315789473684,58.82608695652174,2.42,16.19375
2,1,14,19564,292372,22.256410256410255,24.225806451612904,7.838709677419355,39.078947368421055,67.30434782608695,2.7350000000000003,16.6375
2,1,15,16796,246744,23.4,23.65625,8.0,41.0,68.45833333333333,2.8899999999999997,17.14375
2,1,16,13536,222268,26.3,24.125,7.65625,43.82051282051282,66.29166666666667,2.645,17.2375
2,1,17,15620,246520,31.05,27.34375,7.96875,49.92307692307692,61.541666666666664,2.195,16.5625
2,1,18,16396,260296,35.55,28.34375,7.6875,53.84615384615385,54.916666666666664,1.9149999999999998,14.95
2,1,19,15364,341384,46.65,30.28125,8.78125,76.3076923076923,40.708333333333336,1.26,14.18125
2,1,20,13104,199660,49.625,31.21875,10.625,84.48717948717949,31.541666666666668,1.19,13.69375
2,1,21,8376,111488,55.175,39.125,13.28125,93.48717948717949,23.041666666666668,1.185,13.2375
2,1,22,4592,57708,54.4,42.84375,16.625,81.76923076923077,20.208333333333332,1.125,12.3375
2,1,23,3332,45032,44.05,39.875,16.78125,67.23076923076923,25.375,1.1949999999999998,11.60625
2,2,0,2424,37244,37.875,32.3125,15.53125,52.8974358974359,26.0,1.385,11.08125
2,2,1,888,11448,33.5,27.03125,15.8125,44.256410256410255,24.875,1.355,10.38125
2,2,2,516,9252,28.25,23.65625,14.6875,32.92307692307692,25.166666666666668,1.38,9.9875
2,2,3,456,6228,23.05,19.0,12.59375,26.615384615384617,28.333333333333332,1.26,9.85
2,2,4,348,4516,20.575,17.4375,12.40625,24.46153846153846,30.041666666666668,1.48,9.5625
2,2,5,628,10936,23.3,17.4375,11.28125,28.923076923076923,26.125,1.44,9.0625
2,2,6,2540,66056,34.3,24.65625,11.4375,52.38461538461539,17.208333333333332,1.3599999999999999,8.98125
2,2,7,12232,214928,50.333333333333336,41.90625,12.40625,94.28947368421052,9.08695652173913,1.3850000000000002,9.186666666666667
2,2,8,15956,300708,61.82051282051282,68.0625,15.25,138.97368421052633,6.956521739130435,1.3,10.00625
2,2,9,11804,214936,57.421052631578945,64.80645161290323,15.580645161290322,118.83783783783784,15.954545454545455,1.2650000000000001,12.073333333333332
2,2,10,10176,178120,41.63157894736842,47.54838709677419,14.548387096774194,70.86486486486487,30.761904761904763,1.2449999999999999,14.406666666666666
2,2,11,10504,255108,28.692307692307693,32.6875,11.90625,52.648648648648646,44.57142857142857,1.42,15.9125
2,2,12,11244,357128,24.102564102564102,29.53125,10.65625,41.5945945945946,56.63636363636363,1.72,17.20625
2,2,13,13188,294108,23.307692307692307,26.9375,9.90625,42.270270270270274,64.27272727272727,1.895,80.7125
2,2,14,19944,285180,24.46153846153846,25.84375,10.25,41.54054054054054,68.68181818181819,2.02,18.63125
